product_category_name_english,product_category_name_italian
toys,giocattoli
garden_tools,attrezzi_da_giardino
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
housewares,articoli_per_la_casa
housewares,articoli_per_la_casa
food,alimenti
fashion_bags_accessories,moda_borse_accessori
perfumery,profumeria
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
pet_shop,negozio_animali
telephony,telefonia
toys,giocattoli
garden_tools,attrezzi_da_giardino
health_beauty,salute_bellezza
health_beauty,salute_bellezza
health_beauty,salute_bellezza
furniture_decor,mobili_decorazione
office_furniture,mobili_ufficio
computers_accessories,informatica_accessori
fashion_bags_accessories,moda_borse_accessori
health_beauty,salute_bellezza
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
baby,neonati
sports_leisure,sport_tempo_libero
electronics,elettronica
cool_stuff,articoli_cool
health_beauty,salute_bellezza
health_beauty,salute_bellezza
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
perfumery,profumeria
perfumery,profumeria
perfumery,profumeria
perfumery,profumeria
perfumery,profumeria
furniture_decor,mobili_decorazione
telephony,telefonia
books_general_interest,libri_interesse_generale
furniture_decor,mobili_decorazione
housewares,articoli_per_la_casa
sports_leisure,sport_tempo_libero
watches_gifts,orologi_regali
perfumery,profumeria
baby,neonati
furniture_decor,mobili_decorazione
industry_commerce_and_business,industria_commercio_affari
industry_commerce_and_business,industria_commercio_affari
industry_commerce_and_business,industria_commercio_affari
industry_commerce_and_business,industria_commercio_affari
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
toys,giocattoli
furniture_decor,mobili_decorazione
perfumery,profumeria
perfumery,profumeria
baby,neonati
baby,neonati
perfumery,profumeria
garden_tools,attrezzi_da_giardino
computers_accessories,informatica_accessori
computers_accessories,informatica_accessori
fixed_telephony,telefonia_fissa
health_beauty,salute_bellezza
health_beauty,salute_bellezza
health_beauty,salute_bellezza
health_beauty,salute_bellezza
health_beauty,salute_bellezza
baby,neonati
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
telephony,telefonia
telephony,telefonia
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
toys,giocattoli
fixed_telephony,telefonia_fissa
perfumery,profumeria
office_furniture,mobili_ufficio
health_beauty,salute_bellezza
health_beauty,salute_bellezza
baby,neonati
health_beauty,salute_bellezza
sports_leisure,sport_tempo_libero
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
computers_accessories,informatica_accessori
bed_bath_table,letto_bagno_tavola
perfumery,profumeria
health_beauty,salute_bellezza
health_beauty,salute_bellezza
health_beauty,salute_bellezza
air_conditioning,climatizzazione
air_conditioning,climatizzazione
air_conditioning,climatizzazione
air_conditioning,climatizzazione
garden_tools,attrezzi_da_giardino
furniture_decor,mobili_decorazione
auto,auto
sports_leisure,sport_tempo_libero
health_beauty,salute_bellezza
cool_stuff,articoli_cool
health_beauty,salute_bellezza
health_beauty,salute_bellezza
fashion_bags_accessories,moda_borse_accessori
auto,auto
furniture_decor,mobili_decorazione
computers_accessories,informatica_accessori
furniture_decor,mobili_decorazione
toys,giocattoli
perfumery,profumeria
air_conditioning,climatizzazione
sports_leisure,sport_tempo_libero
housewares,articoli_per_la_casa
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
health_beauty,salute_bellezza
